"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","184","0.5"
"CENSUS","2018","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","206","1.6"
"CENSUS","2018","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","173","10.8"
"CENSUS","2018","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","209","4.0"
"CENSUS","2018","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202","1.8"
"CENSUS","2018","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199","1.9"
"CENSUS","2018","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","222","2.6"
"CENSUS","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","206","2.2"
"CENSUS","2018","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","213","1.5"
"CENSUS","2013","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","189",""
"CENSUS","2013","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","156",""
"CENSUS","2013","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","168",""
"CENSUS","2013","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","209",""
"CENSUS","2013","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190",""
"CENSUS","2013","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198",""
"CENSUS","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","197",""
"CENSUS","2013","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185",""
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","160",""
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","69",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.3",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","101.2",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","178.2",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","81.5",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","183.9",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","75",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202.1",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","99.8",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","193.4",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","83.4",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","173.1",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","83.8",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","131",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40.8",""
"SURVEY","2010","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","200.1",""
