"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","CENTRAL","50","MCCLAIN","087","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","84.1","4.6"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","CENTRAL","50","OKFUSKEE","107","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","111","10.3"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","CENTRAL","50","OKLAHOMA","109","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","155.2","7.3"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","CENTRAL","50","POTTAWATOMIE","125","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","122","4.2"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","EAST CENTRAL","80","HUGHES","063","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","118.8","7.7"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","EAST CENTRAL","80","MUSKOGEE","101","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","144.2","3.6"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","78.4","4.9"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GRANT","053","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51.3","11.8"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","KAY","071","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","70.1","7.7"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","MAJOR","093","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","183.4","3.1"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","NOBLE","103","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52.3","8.0"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","CRAIG","035","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","72.1","27.2"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","DELAWARE","041","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","99","8.4"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","MAYES","097","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","77.4","13.0"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","OTTAWA","115","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","68.7","13.6"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","ROGERS","131","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","78.3","5.9"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","WAGONER","145","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","106.1","18.8"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","WASHINGTON","147","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","73.1","12.7"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","PANHANDLE","10","BEAVER","007","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","180.3","5.7"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","PANHANDLE","10","CIMARRON","025","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","178.9","13.8"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","PANHANDLE","10","ELLIS","045","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","174.5","15.6"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","PANHANDLE","10","TEXAS","139","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.9","3.0"
