Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,0.8630,1.3144,0.8759,7.5093,1.1022,0.2157,0.1233,1.9459,1.1633,4.3935,0.9568,4.3036,2.1449,2.9111,1.3073,0.5842,0.2732,0.3924,0.3247,1.6253,2.9171,2.1845,1.1493,0.8468,2.9396,1.5800,2.5486,0.0626,0.5868,0.3437,0.0676,1.5888,2.2652,1.3806,0.8254,1.3245,0.0330,0.9536,1.4494,1.1302,4.0257,0.2229,1.0520,0.1579,1.3449,1.9572,0.1865,0.2095
1961,0.8167,1.3496,0.9154,7.3435,1.0623,0.2126,0.1192,2.1529,1.2337,4.4487,1.0510,4.3707,2.0692,2.5926,1.4556,0.5947,0.2641,0.3877,0.3638,1.7579,3.0175,2.1398,1.2405,0.6503,2.8997,0.9955,2.2245,0.0614,0.5477,0.3379,0.0637,1.6506,2.1252,1.2312,0.8494,1.3593,0.0328,0.9723,1.1592,1.1796,3.9327,0.2096,1.0899,0.1630,1.3484,2.0974,0.1833,0.2265
1962,0.7383,1.3948,0.8941,7.7282,0.9541,0.2100,0.1135,2.4678,1.1284,4.4722,1.1351,4.5439,2.2245,2.3571,1.4433,0.6492,0.2722,0.3754,0.3650,1.7228,2.6650,1.9922,1.2170,0.9382,3.0435,1.9369,2.3862,0.0646,0.5704,0.3600,0.0821,1.5675,2.1364,0.9525,0.9321,1.1758,0.0347,1.0227,1.3650,1.0997,3.6712,0.2431,1.1269,0.1550,1.4625,2.1542,0.1725,0.2264
1963,0.9360,1.4560,0.9686,7.8870,0.8314,0.2186,0.1099,2.0100,1.3870,5.0047,1.1868,4.8962,2.4453,2.1943,1.5760,0.7494,0.2674,0.3668,0.3699,1.7428,3.2107,2.2677,1.4785,1.0037,3.1275,1.6998,2.3310,0.0600,0.5367,0.3548,0.0872,1.6442,2.2583,0.9816,0.9432,1.2526,0.0341,1.0165,1.4171,1.2138,4.0907,0.2372,0.8790,0.1520,1.5980,1.9686,0.1623,0.2545
1964,0.8970,1.5271,0.8667,8.3073,0.8376,0.2116,0.0989,1.9562,1.2707,4.7189,1.2103,4.5564,2.1198,2.1346,1.7266,0.7166,0.2525,0.3858,0.3527,1.8576,2.7612,2.0659,1.5383,1.0072,3.2470,1.7398,2.1031,0.0537,0.5146,0.3280,0.0876,1.5334,2.0921,1.0766,0.9551,1.2605,0.0328,1.0085,1.1549,1.3215,3.7980,0.2347,1.0319,0.1467,1.6632,1.9036,0.1632,0.2429
1965,0.9213,1.6753,0.9263,8.0050,0.8184,0.2152,0.1365,2.3300,1.3481,4.8551,1.1946,5.4702,2.5150,2.5293,1.5248,0.7604,0.2467,0.4320,0.3295,1.6770,2.8621,2.3690,1.4123,1.0960,2.8275,2.0007,2.2875,0.0536,0.5477,0.3235,0.1024,1.6016,2.2470,1.4001,0.9919,1.3011,0.0313,1.0275,1.3812,1.2613,4.2834,0.2523,1.0262,0.1320,1.6358,2.0450,0.1527,0.2202
1966,0.7028,1.3940,0.8961,8.5869,0.9825,0.2160,0.0972,2.4918,1.1440,5.3997,1.1791,5.0012,2.3331,2.2869,1.4111,0.7918,0.2523,0.3406,0.3302,1.6872,3.2208,2.1526,1.2831,1.0844,2.6970,1.8426,2.9110,0.0599,0.4966,0.3728,0.0901,1.6385,2.4594,1.1087,1.0026,1.1291,0.0318,0.8609,1.3779,1.0742,4.2764,0.2390,0.9238,0.1591,1.7766,2.2052,0.1217,0.2274
1967,0.6165,1.3008,0.8516,7.7189,0.9287,0.2071,0.1500,2.9378,1.3993,5.6506,1.3813,6.1275,2.4947,2.5064,1.8473,0.8661,0.2299,0.4688,0.3393,1.6765,3.3335,2.1749,1.1298,1.1611,3.0333,1.8583,2.7814,0.0621,0.5197,0.3424,0.1042,1.7841,2.3483,1.0872,1.0496,1.4407,0.0290,0.9429,1.5651,0.9986,3.7800,0.2837,1.0473,0.1568,1.9358,2.2217,0.1657,0.2989
1968,0.6607,1.5963,0.8945,8.8832,1.0510,0.1911,0.1163,2.4581,1.2140,5.6438,1.3634,5.5605,2.5670,2.7825,1.5210,1.0073,0.2226,0.4233,0.3474,1.7634,3.5286,2.6244,1.3556,1.1885,2.6209,2.1683,2.6881,0.0597,0.4999,0.3674,0.0907,1.6318,2.5300,1.2487,0.9836,1.3637,0.0288,0.7976,1.6203,1.0346,4.2651,0.2677,1.0323,0.1454,1.8336,2.3890,0.1603,0.2883
1969,0.7160,1.6683,0.9836,9.2017,1.1532,0.1917,0.1444,2.8488,1.2185,5.7274,1.4170,5.8135,2.7714,3.1208,1.6589,0.8747,0.2244,0.4656,0.3341,1.7589,3.4385,2.2210,1.3085,1.1340,2.8086,2.2007,3.2765,0.0571,0.4872,0.3566,0.1125,1.6489,2.3667,1.3065,1.1179,1.4314,0.0274,0.8823,1.6028,1.1153,4.0197,0.2703,1.0832,0.1464,1.8666,2.2367,0.1633,0.2838
