"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"1",1944,"MONTANA",28,16,44,0.636363636363636,0.363636363636364
"2",1945,"MONTANA",26,12,38,0.684210526315789,0.315789473684211
"3",1946,"MONTANA",25,13,38,0.657894736842105,0.342105263157895
"4",1947,"MONTANA",27,17,44,0.613636363636364,0.386363636363636
"5",1947,"NEBRASKA",49,17.9,66.9,0.732436472346786,0.267563527653214
"6",1948,"MONTANA",39,18,57,0.684210526315789,0.315789473684211
"7",1948,"NEBRASKA",57.3,33.6,90.9,0.63036303630363,0.36963696369637
"8",1949,"MONTANA",38,5,43,0.883720930232558,0.116279069767442
"9",1949,"NEBRASKA",55,29.3,84.3,0.652431791221827,0.347568208778173
"10",1950,"MONTANA",41,16,57,0.719298245614035,0.280701754385965
"11",1950,"NEBRASKA",59.7,34.2,93.9,0.635782747603834,0.364217252396166
"12",1951,"MONTANA",33,13,46,0.717391304347826,0.282608695652174
"13",1951,"NEBRASKA",53.1,25.5,78.6,0.67557251908397,0.324427480916031
"14",1952,"MONTANA",38,10,48,0.791666666666667,0.208333333333333
"15",1952,"NEBRASKA",60.2,36.3,96.5,0.623834196891192,0.376165803108808
"16",1953,"MONTANA",39,18,57,0.684210526315789,0.315789473684211
"17",1953,"NEBRASKA",56.2,26.8,83,0.67710843373494,0.32289156626506
"18",1954,"MONTANA",37,11,48,0.770833333333333,0.229166666666667
"19",1954,"NEBRASKA",56.8,26.1,82.9,0.685162846803377,0.314837153196622
"20",1955,"MONTANA",44,18,62,0.709677419354839,0.290322580645161
"21",1955,"NEBRASKA",59.3,11.4,70.7,0.838755304101839,0.161244695898161
"22",1955,"WYOMING",43,15,58,0.741379310344828,0.258620689655172
"23",1956,"MONTANA",51,12,63,0.80952380952381,0.19047619047619
"24",1956,"NEBRASKA",70.9,11.4,82.3,0.861482381530984,0.138517618469016
"25",1956,"SOUTH DAKOTA",50.8,0,50.8,1,0
"26",1956,"WYOMING",50,17,67,0.746268656716418,0.253731343283582
"27",1957,"MONTANA",51,17,68,0.75,0.25
"28",1957,"NEBRASKA",74.4,35.9,110.3,0.674524025385313,0.325475974614687
"29",1957,"SOUTH DAKOTA",60.8,0,60.8,1,0
"30",1957,"WYOMING",54,16,70,0.771428571428571,0.228571428571429
"31",1958,"MONTANA",49,12,61,0.80327868852459,0.19672131147541
"32",1958,"NEBRASKA",76.1,43.1,119.2,0.638422818791946,0.361577181208054
"33",1958,"SOUTH DAKOTA",58,0,58,1,0
"34",1958,"WYOMING",55,20,75,0.733333333333333,0.266666666666667
"35",1959,"MONTANA",57,10,67,0.850746268656716,0.149253731343284
"36",1959,"NEBRASKA",75.5,40.6,116.1,0.650301464254953,0.349698535745047
"37",1959,"NEW MEXICO",37,15,52,0.711538461538462,0.288461538461538
"38",1959,"SOUTH DAKOTA",60.1,0,60.1,1,0
"39",1959,"WYOMING",59,20,79,0.746835443037975,0.253164556962025
"40",1960,"MONTANA",66,20,86,0.767441860465116,0.232558139534884
"41",1960,"NEBRASKA",79,42.1,121.1,0.652353426919901,0.347646573080099
"42",1960,"NEW MEXICO",48,14,62,0.774193548387097,0.225806451612903
"43",1960,"SOUTH DAKOTA",68.9,0,68.9,1,0
"44",1960,"WYOMING",53,17,70,0.757142857142857,0.242857142857143
"45",1961,"MONTANA",64,19,83,0.771084337349398,0.228915662650602
"46",1961,"NEBRASKA",79.1,42.3,121.4,0.651565074135091,0.348434925864909
"47",1961,"NEW MEXICO",40,15,55,0.727272727272727,0.272727272727273
"48",1961,"SOUTH DAKOTA",71.5,0,71.5,1,0
"49",1961,"WYOMING",62,26,88,0.704545454545455,0.295454545454545
"50",1962,"MONTANA",57,26,83,0.686746987951807,0.313253012048193
"51",1962,"NEBRASKA",86.1,52.5,138.6,0.621212121212121,0.378787878787879
"52",1962,"NEW MEXICO",41.7,11.8,53.5,0.779439252336449,0.220560747663551
"53",1962,"SOUTH DAKOTA",66.8,0,66.8,1,0
"54",1962,"WYOMING",40,0,40,1,0
"55",1963,"COLORADO",80,18,98,0.816326530612245,0.183673469387755
"56",1963,"MONTANA",70,30,100,0.7,0.3
"57",1963,"NEBRASKA",84.3,46.7,131,0.643511450381679,0.356488549618321
"58",1963,"NEW MEXICO",42.6,10.9,53.5,0.796261682242991,0.203738317757009
"59",1963,"SOUTH DAKOTA",73.5,0,73.5,1,0
"60",1963,"WYOMING",56,17,73,0.767123287671233,0.232876712328767
"61",1964,"COLORADO",77.5,14,91.5,0.846994535519126,0.153005464480874
"62",1964,"MONTANA",73,22,95,0.768421052631579,0.231578947368421
"63",1964,"NEBRASKA",82.5,40.5,123,0.670731707317073,0.329268292682927
"64",1964,"SOUTH DAKOTA",60,0,60,1,0
"65",1964,"WYOMING",58,20,78,0.743589743589744,0.256410256410256
"66",1965,"COLORADO",79.5,20,99.5,0.798994974874372,0.201005025125628
"67",1965,"MONTANA",58,25,83,0.698795180722892,0.301204819277108
"68",1965,"NEBRASKA",95.5,56.4,151.9,0.628703094140882,0.371296905859118
"69",1965,"NEW MEXICO",45.5,10.7,56.2,0.809608540925267,0.190391459074733
"70",1965,"SOUTH DAKOTA",77.9,0,77.9,1,0
"71",1965,"WYOMING",51,17,68,0.75,0.25
"72",1966,"COLORADO",87.5,29,116.5,0.751072961373391,0.248927038626609
"73",1966,"MONTANA",72,13,85,0.847058823529412,0.152941176470588
"74",1966,"NEBRASKA",104.8,65.1,169.9,0.616833431430253,0.383166568569747
"75",1966,"NEW MEXICO",49.2,10,59.2,0.831081081081081,0.168918918918919
"76",1966,"SOUTH DAKOTA",84.9,0,84.9,1,0
"77",1966,"WYOMING",65,20,85,0.764705882352941,0.235294117647059
"78",1967,"COLORADO",90,21,111,0.810810810810811,0.189189189189189
"79",1967,"MONTANA",76,12,88,0.863636363636364,0.136363636363636
"80",1967,"NEBRASKA",101.7,54.9,156.6,0.649425287356322,0.350574712643678
"81",1967,"NEW MEXICO",56.7,12,68.7,0.825327510917031,0.174672489082969
"82",1967,"SOUTH DAKOTA",84.6,0,84.6,1,0
"83",1967,"WYOMING",70,25,95,0.736842105263158,0.263157894736842
"84",1968,"COLORADO",92,22.5,114.5,0.803493449781659,0.196506550218341
"85",1968,"MONTANA",75,0,75,1,0
"86",1968,"NEBRASKA",102.9,49,151.9,0.67741935483871,0.32258064516129
"87",1968,"SOUTH DAKOTA",92.5,0,92.5,1,0
"88",1968,"WYOMING",75,0,75,1,0
"89",1969,"COLORADO",102.5,20.5,123,0.833333333333333,0.166666666666667
"90",1969,"MONTANA",73,0,73,1,0
"91",1969,"NEBRASKA",121,72.8,193.8,0.624355005159959,0.375644994840041
"92",1969,"SOUTH DAKOTA",95.7,0,95.7,1,0
"93",1969,"WYOMING",74,20,94,0.787234042553192,0.212765957446809
