"","state","year","value","total","avg_gdp","perc","region"
"1","Arkansas","1963",417.9,3791.2,417.9,0.110228951255539,"south"
"2","Arkansas","1964",460.1,4147.9,460.1,0.110923599893922,"south"
"3","Arkansas","1965",430,4445.8,430,0.0967205002474245,"south"
"4","Arkansas","1966",473.8,4867.8,473.8,0.0973334976786228,"south"
"5","Arkansas","1967",392.2,5131.7,392.2,0.0764269150573884,"south"
"6","Arkansas","1968",454.4,5704.3,454.4,0.0796592044597935,"south"
"7","Arkansas","1969",487.4,6231.9,487.4,0.0782104976010527,"south"
"8","Arkansas","1970",558.9,6666.6,558.9,0.0838358383583836,"south"
"9","Arkansas","1971",563.6,7440.2,563.6,0.0757506518641972,"south"
"10","Arkansas","1972",684.7,8494.1,684.7,0.0806088932317726,"south"
"11","Arkansas","1973",1133,9886.4,1133,0.114601877326428,"south"
"12","Arkansas","1974",1200.1,10865.2,1200.1,0.110453558148953,"south"
"13","Arkansas","1975",1165.7,11942,1165.7,0.0976134650812259,"south"
"14","Arkansas","1976",1030.4,13704.4,1030.4,0.0751875310119378,"south"
"15","Arkansas","1977",1080.7,15182.3,1080.7,0.0711815732794109,"south"
"16","Arkansas","1978",1616.1,17477.1,1616.1,0.0924695744717373,"south"
"17","Arkansas","1979",1552.6,19099.1,1552.6,0.0812917886183119,"south"
"18","Arkansas","1980",987.2,20275.6,987.2,0.0486890646885912,"south"
"19","Arkansas","1981",1568.9,22890.8,1568.9,0.0685384521292397,"south"
"20","Arkansas","1982",1342.8,23527,1342.8,0.0570748501721426,"south"
"21","Arkansas","1983",952.1,25291.9,952.1,0.0376444632471266,"south"
"22","Arkansas","1984",1530.5,28464.7,1530.5,0.053768351677692,"south"
"23","Arkansas","1985",1387.1,29325.7,1387.1,0.0472998087002186,"south"
"24","Arkansas","1986",1325,30798.5,1325,0.0430215757260906,"south"
"25","Arkansas","1987",1442,32663.6,1442,0.044147001555248,"south"
"26","Arkansas","1988",1806.7,35004.5,1806.7,0.0516133639960576,"south"
"27","Arkansas","1989",1766.3,37127.6,1766.3,0.0475737726112111,"south"
"28","Arkansas","1990",1688.8,38679.8,1688.8,0.0436610323734869,"south"
"29","Arkansas","1991",1769.5,41571.7,1769.5,0.0425650141803198,"south"
"30","Arkansas","1992",2051.2,45017.8,2051.2,0.0455641990501535,"south"
"31","Arkansas","1993",1755.4,47566,1755.4,0.0369045116259513,"south"
"32","Arkansas","1994",2375.3,51415.9,2375.3,0.0461977715064795,"south"
"33","Arkansas","1995",2132.4,54611.8,2132.4,0.0390465064326757,"south"
"34","Arkansas","1996",2889.7,57976.4,2889.7,0.0498426946136704,"south"
"35","Arkansas","1997",2695.1,60332.9,2695.1,0.0446704865836053,"south"
"36","Idaho","1963",246.2,1841.1,246.2,0.133724403888979,"north"
"37","Idaho","1964",219.6,1946.4,219.6,0.112823674475956,"north"
"38","Idaho","1965",312.7,2197.3,312.7,0.142311018067628,"north"
"39","Idaho","1966",273.9,2272.5,273.9,0.120528052805281,"north"
"40","Idaho","1967",297.7,2334.5,297.7,0.12752195330906,"north"
"41","Idaho","1968",285.3,2497.1,285.3,0.114252532938208,"north"
"42","Idaho","1969",361.5,2749.9,361.5,0.131459325793665,"north"
"43","Idaho","1970",384.9,3014.9,384.9,0.127665925901357,"north"
"44","Idaho","1971",388.1,3265.3,388.1,0.118855847854715,"north"
"45","Idaho","1972",478.6,3773,478.6,0.126848661542539,"north"
"46","Idaho","1973",704.5,4481.4,704.5,0.157205337617709,"north"
"47","Idaho","1974",876,5186.2,876,0.16890979908218,"north"
"48","Idaho","1975",719,5834.7,719,0.123228272233362,"north"
"49","Idaho","1976",701.9,6590.7,701.9,0.106498550988514,"north"
"50","Idaho","1977",620.6,7205.9,620.6,0.0861238707170513,"north"
"51","Idaho","1978",742,8449.7,742,0.087813768536161,"north"
"52","Idaho","1979",790.8,9285.9,790.8,0.085161373695603,"north"
"53","Idaho","1980",967.5,9915.8,967.5,0.0975715524718127,"north"
"54","Idaho","1981",1116,10677.4,1116,0.104519826924158,"north"
"55","Idaho","1982",1053.8,10689.3,1053.8,0.0985845658742855,"north"
"56","Idaho","1983",1060.5,11834.2,1060.5,0.0896131550928664,"north"
"57","Idaho","1984",1131.4,12585.9,1131.4,0.0898942467364273,"north"
"58","Idaho","1985",1091.7,13043.9,1091.7,0.0836942938844977,"north"
"59","Idaho","1986",986,13220.2,986,0.0745828353580127,"north"
"60","Idaho","1987",1099.9,13996,1099.9,0.0785867390683052,"north"
"61","Idaho","1988",1207.6,15285.3,1207.6,0.0790040103890666,"north"
"62","Idaho","1989",1564.8,16908.6,1564.8,0.092544622263227,"north"
"63","Idaho","1990",1692.4,18004.2,1692.4,0.0940002888214972,"north"
"64","Idaho","1991",1441.1,18851.7,1441.1,0.0764440342250301,"north"
"65","Idaho","1992",1561.3,20631.6,1561.3,0.0756751778824716,"north"
