"","year","state","region","avg","med","total","max","min","pct_chg","nat_avg","pct_diff","nat_pct_chg"
"1",1975,"ARKANSAS","south",46.984,46.4,3523.8,75,26,NA,67.0715251797806,-29.9494086737068,NA
"2",1975,"ILLINOIS","mid",106.323529411765,107.5,10845,146,71,NA,67.0715251797806,58.5226057209401,NA
"3",1975,"INDIANA","mid",92.270652173913,90,8488.9,130.1,58,NA,67.0715251797806,37.5705292619899,NA
"4",1975,"IOWA","mid",88.1333333333333,90.6,8725.2,115,55,NA,67.0715251797806,31.4020116541229,NA
"5",1975,"KANSAS","mid",76.0761904761905,85,7988,126,37,NA,67.0715251797806,13.4254667271595,NA
"6",1975,"KENTUCKY","mid",74.6333333333333,73.75,8956,97,50,NA,67.0715251797806,11.2742451186011,NA
"7",1975,"MINNESOTA","north",60.9951219512195,61.05,5001.6,104,27.9,NA,67.0715251797806,-9.05958707853108,NA
"8",1975,"MISSOURI","mid",61.3649122807018,58.6,6995.6,100.6,45.6,NA,67.0715251797806,-8.50824978824128,NA
"9",1975,"NEBRASKA","mid",82.9408602150538,84,7713.5,122.7,34.5,NA,67.0715251797806,23.6603163454781,NA
"10",1975,"NORTH DAKOTA","north",42.7409090909091,40.5,1880.6,80,20,NA,67.0715251797806,-36.2756266890532,NA
"11",1975,"OKLAHOMA","south",47.0789473684211,44.15,1789,99.6,21,NA,67.0715251797806,-29.8078473059482,NA
"12",1975,"SOUTH DAKOTA","north",34.7615384615385,28.6,2259.5,89.3,18,NA,67.0715251797806,-48.1724347726363,NA
"13",1975,"TENNESSEE","south",58.2631578947368,57,5535,80,41,NA,67.0715251797806,-13.1327970572215,NA
"14",1975,"TEXAS","south",59.6854961832061,43.1,7818.8,139.3,17.6,NA,67.0715251797806,-11.0121679457516,NA
"15",1975,"WISCONSIN","north",73.8208955223881,72.2,4946,100.9,50,NA,67.0715251797806,10.0629444827983,NA
"16",1976,"ARKANSAS","south",52.7266666666667,50,3954.5,82.5,38,12.2226006016232,69.5544711781998,-24.19370635199,3.70193758344368
"17",1976,"ILLINOIS","mid",98.3921568627451,98,10036,143,52,-7.45965882895344,69.5544711781998,41.4605778694839,3.70193758344368
"18",1976,"INDIANA","mid",107.459782608696,107.3,9886.3,130.4,83.2,16.4614967781456,69.5544711781998,54.4973037511589,3.70193758344368
"19",1976,"IOWA","mid",91.8161616161616,94.5,9089.8,117.6,52.8,4.17870077476734,69.5544711781998,32.0061242086464,3.70193758344368
"20",1976,"KANSAS","mid",82.3076923076923,85.5,8560,136,37,8.19113285312585,69.5544711781998,18.3355877968197,3.70193758344368
"21",1976,"KENTUCKY","mid",94.3916666666667,95,11327,116,65,26.4738722644037,69.5544711781998,35.7089847248403,3.70193758344368
"22",1976,"MINNESOTA","north",50.4061728395062,46.9,4082.9,103.3,16.1,-17.3603212404129,69.5544711781998,-27.5299315979779,3.70193758344368
"23",1976,"MISSOURI","mid",56.3035087719298,51,6418.6,105.1,33.3,-8.24804162616502,69.5544711781998,-19.0512014279007,3.70193758344368
"24",1976,"NEBRASKA","mid",83.7172043010753,87.3,7785.7,122.4,35.1,0.93602126142478,69.5544711781998,20.3620743324901,3.70193758344368
"25",1976,"NORTH DAKOTA","north",33.82,35,1183.7,53.9,18.5,-20.8720621078379,69.5544711781998,-51.3762387563086,3.70193758344368
"26",1976,"OKLAHOMA","south",54.3,46.7,1846.2,112.4,28.3,15.3381777529346,69.5544711781998,-21.931690256285,3.70193758344368
"27",1976,"SOUTH DAKOTA","north",27.3666666666667,23.65,1806.2,96.1,10,-21.2731430257431,69.5544711781998,-60.6543386742848,3.70193758344368
"28",1976,"TENNESSEE","south",78.1052631578947,78,7420,104,62,34.0560072267389,69.5544711781998,12.2936625566279,3.70193758344368
"29",1976,"TEXAS","south",66.5847222222222,50.55,9588.2,148.7,18.2,11.5593008020554,69.5544711781998,-4.26967368980357,3.70193758344368
"30",1976,"WISCONSIN","north",65.6194029850746,67.1,4396.5,87.8,41.9,-11.109987868985,69.5544711781998,-5.65753448551638,3.70193758344368
"31",1977,"ARKANSAS","south",49.5533333333333,47,3716.5,75.8,35,-6.01845998229864,76.8529904639312,-35.5219191417284,10.4932424358923
"32",1977,"ILLINOIS","mid",99.7058823529412,97,10170,130,62,1.33519330410523,76.8529904639312,29.7358525036646,10.4932424358923
"33",1977,"INDIANA","mid",101.267391304348,101.3,9316.6,121.6,84.1,-5.76251985070249,76.8529904639312,31.7676653738996,10.4932424358923
"34",1977,"IOWA","mid",82.5010101010101,86.8,8167.6,123.7,18.3,-10.1454377434047,76.8529904639312,7.34912148894149,10.4932424358923
"35",1977,"KANSAS","mid",90.2788461538462,92.5,9389,121,40,9.68457943925234,76.8529904639312,17.4695293037634,10.4932424358923
"36",1977,"KENTUCKY","mid",88.2265486725664,89,9969.6,102,70,-6.53142190599484,76.8529904639312,14.7991094946046,10.4932424358923
"37",1977,"MINNESOTA","north",89.4440476190476,92.95,7513.3,129.8,52.7,77.4466153259413,76.8529904639312,16.3833015203562,10.4932424358923
"38",1977,"MISSOURI","mid",74.8963963963964,76,8313.5,108.3,35.6,33.0226091233164,76.8529904639312,-2.54589191093748,10.4932424358923
"39",1977,"NEBRASKA","mid",95.847311827957,100,8913.8,133,30.5,14.4893843841915,76.8529904639312,24.715136326335,10.4932424358923
"40",1977,"NORTH DAKOTA","north",53.5217391304348,49.4,2462,100,15,58.2546987889852,76.8529904639312,-30.3582868963912,10.4932424358923
"41",1977,"OKLAHOMA","south",48.4796296296296,40,2617.9,103.3,22.2,-10.7189141259123,76.8529904639312,-36.9190068766651,10.4932424358923
"42",1977,"SOUTH DAKOTA","north",54.5484848484848,51.6,3600.2,102.2,23,99.3245487764367,76.8529904639312,-29.0223002134372,10.4932424358923
"43",1977,"TENNESSEE","south",64.1894736842105,63,6098,96,43,-17.8167115902965,76.8529904639312,-16.4775849362217,10.4932424358923
"44",1977,"TEXAS","south",59.9047619047619,50,8806,122.2,26.5,-10.0322718102906,76.8529904639312,-22.0527899524267,10.4932424358923
"45",1977,"WISCONSIN","north",100.43,101.1,7030.1,119.9,80,53.0492437165927,76.8529904639312,30.6780639162428,10.4932424358923
"46",1978,"ARKANSAS","south",56.4102564102564,55,2200,88,34,13.8374608036925,81.578653301079,-30.8516944965181,6.14896415691941
"47",1978,"ILLINOIS","mid",102.607843137255,107,10466,133,55,2.91052114060963,81.578653301079,25.7778094945553,6.14896415691941
"48",1978,"INDIANA","mid",106.542391304348,107.9,9801.9,129.9,78.6,5.20898181740119,81.578653301079,30.6008214074535,6.14896415691941
"49",1978,"IOWA","mid",112.678787878788,114.6,11155.2,131.3,88.7,36.5786767226603,81.578653301079,38.1228830328062,6.14896415691941
"50",1978,"KANSAS","mid",84.9904761904762,93,8924,135,25,-5.85781740537307,81.578653301079,4.18224958532389,6.14896415691941
"51",1978,"KENTUCKY","mid",83.78,84,9215.8,104,43,-5.03992136093724,81.578653301079,2.69843471281216,6.14896415691941
"52",1978,"MINNESOTA","north",91.9630952380952,90.6,7724.9,127.9,50,2.8163390254615,81.578653301079,12.7293618082794,6.14896415691941
"53",1978,"MISSOURI","mid",82.3919642857143,84.9,9227.9,114.1,48.8,10.0079152669067,81.578653301079,0.996965445891373,6.14896415691941
"54",1978,"NEBRASKA","mid",108.254838709677,107.3,10067.7,136.4,68.8,12.9450963674303,81.578653301079,32.6999580517047,6.14896415691941
"55",1978,"NORTH DAKOTA","north",59.9102040816327,60,2935.6,110,25,11.9362058389562,81.578653301079,-26.5614205955025,6.14896415691941
"56",1978,"OKLAHOMA","south",45.4611111111111,43.3,2454.9,90.8,22.9,-6.22636464341648,81.578653301079,-44.2732758245841,6.14896415691941
"57",1978,"SOUTH DAKOTA","north",61.4545454545455,59,4056,109.2,34.5,12.6604077551247,81.578653301079,-24.6683501531489,6.14896415691941
"58",1978,"TENNESSEE","south",68.6526315789474,70,6522,98,43,6.95309937684485,81.578653301079,-15.8448579365807,6.14896415691941
"59",1978,"TEXAS","south",64.6616541353384,55.1,8600,135.2,22.6,7.94075809555688,81.578653301079,-20.7370414700348,6.14896415691941
"60",1978,"WISCONSIN","north",93.92,93.25,6574.4,111.8,80,-6.48212685452555,81.578653301079,15.1281569375426,6.14896415691941
"61",1979,"ARKANSAS","south",54.8085106382979,55,2576,73,43,-2.83945841392649,92.5857580970491,-40.8024389875955,13.4926287093102
"62",1979,"ILLINOIS","mid",119.960784313725,123.5,12236,146,89,16.9119052168928,92.5857580970491,29.5672107452873,13.4926287093102
"63",1979,"INDIANA","mid",108.367391304348,107.55,9969.8,132.1,81.9,1.71293320682724,92.5857580970491,17.0454220299804,13.4926287093102
"64",1979,"IOWA","mid",125.617171717172,127.2,12436.1,144.1,97.7,11.4825372920252,92.5857580970491,35.6765600876745,13.4926287093102
"65",1979,"KANSAS","mid",107.990291262136,109,11123,140,62,27.0616380829703,92.5857580970491,16.6381239206787,13.4926287093102
"66",1979,"KENTUCKY","mid",96.1918918918919,96,10677.3,116,70,14.8148626066984,92.5857580970491,3.89491199182367,13.4926287093102
"67",1979,"MINNESOTA","north",88.8915662650602,87,7378,126,55,-3.33995823551037,92.5857580970491,-3.99002169223106,13.4926287093102
"68",1979,"MISSOURI","mid",94.3571428571429,95.45,10568,122.8,63.1,14.5222640037278,92.5857580970491,1.91323676178902,13.4926287093102
"69",1979,"NEBRASKA","mid",111.515053763441,109.8,10370.9,138.3,64.2,3.01161139088373,92.5857580970491,20.445148428282,13.4926287093102
"70",1979,"NORTH DAKOTA","north",68.1166666666667,71,2860.9,125,25,13.6979379570332,92.5857580970491,-26.4285695049704,13.4926287093102
"71",1979,"OKLAHOMA","south",96.3169811320755,95,5104.8,123.4,80,111.866755514769,92.5857580970491,4.03001834376655,13.4926287093102
"72",1979,"SOUTH DAKOTA","north",68.6136363636364,66.1,4528.5,105.1,39.1,11.6494082840237,92.5857580970491,-25.891802612109,13.4926287093102
"73",1979,"TENNESSEE","south",81.8631578947368,83,7777,103,63,19.2425636307881,92.5857580970491,-11.5812630610776,13.4926287093102
"74",1979,"TEXAS","south",71.5575539568345,58.2,9946.5,149,29,10.6645892588255,92.5857580970491,-22.7121369122156,13.4926287093102
"75",1979,"WISCONSIN","north",94.6185714285714,95.6,6623.3,120.6,71.5,0.743794110489171,92.5857580970491,2.19560046091706,13.4926287093102
"76",1980,"ARKANSAS","south",27.462962962963,27,1483,40,20,-49.8928858983207,68.9541087480167,-60.1721152494008,-25.5240652933484
"77",1980,"ILLINOIS","mid",85.2549019607843,88,8696,129,41,-28.9310232101994,68.9541087480167,23.6400607719209,-25.5240652933484
"78",1980,"INDIANA","mid",96.1478260869565,97.05,8845.6,119.1,66.8,-11.27605368212,68.9541087480167,39.4374140028631,-25.5240652933484
"79",1980,"IOWA","mid",108.085858585859,114.5,10700.5,139.1,54.8,-13.9561438071421,68.9541087480167,56.7504250991677,-25.5240652933484
"80",1980,"KANSAS","mid",72.7608695652174,79.5,6694,137,20,-32.6227675517631,68.9541087480167,5.52071643926538,-25.5240652933484
"81",1980,"KENTUCKY","mid",71.9739130434783,77,8277,99,40,-25.1767361802507,68.9541087480167,4.37944068930977,-25.5240652933484
"82",1980,"MINNESOTA","north",87.1309523809524,88,7319,130,40,-1.98063096206224,68.9541087480167,26.3607839517736,-25.5240652933484
"83",1980,"MISSOURI","mid",40.6472727272727,33.85,4471.2,91.2,13.7,-56.9218911293098,68.9541087480167,-41.051703132278,-25.5240652933484
"84",1980,"NEBRASKA","mid",85.0075268817204,89.1,7905.7,117.6,26.1,-23.7703574424592,68.9541087480167,23.2813075611908,-25.5240652933484
"85",1980,"NORTH DAKOTA","north",51.5864864864865,51.4,1908.7,90,20,-24.2674531639543,68.9541087480167,-25.1872188283918,-25.5240652933484
"86",1980,"OKLAHOMA","south",52.9207547169811,49.2,2804.8,88.1,27.5,-45.0556339131797,68.9541087480167,-23.2522097988784,-25.5240652933484
"87",1980,"SOUTH DAKOTA","north",51.321875,45.25,3284.6,100,16,-25.2016396157668,68.9541087480167,-25.5709689649551,-25.5240652933484
"88",1980,"TENNESSEE","south",45.6736842105263,44,4339,113,21,-44.2072778706442,68.9541087480167,-33.7622006290669,-25.5240652933484
"89",1980,"TEXAS","south",58.3481751824818,50,7993.7,129.4,17,-18.4597964071285,68.9541087480167,-15.3811480680475,-25.5240652933484
"90",1980,"WISCONSIN","north",99.9885714285714,100.3,6999.2,123.3,69.6,5.67541859797986,68.9541087480167,45.0074161555273,-25.5240652933484
