"","year","state","data_item","value","region","adj_value"
"1",2020,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",439714000,"south",431887294.927554
"2",2020,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",9270720000,"mid",9105705487.72788
"3",2020,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4368788000,"mid",4291025601.71375
"4",2020,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9873660000,"mid",9697913435.62951
"5",2020,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",3295864000,"mid",3237199150.83238
"6",2020,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",1129944000,"mid",1109831521.35165
"7",2020,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6056064000,"north",5948268872.19453
"8",2020,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",2411784000,"mid",2368855364.41768
"9",2020,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",7607883000,"mid",7472466214.39237
"10",2020,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1051535000,"north",1032818165.152
"11",2020,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",177120000,"south",173967346.224065
"12",2020,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2952450000,"north",2899897760.60998
"13",2020,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",617100000,"south",606115906.475104
"14",2020,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1019392000,"south",1001247295.63032
"15",2020,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",2144637000,"north",2106463457.00056
"16",2019,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",496493000,"south",496493000
"17",2019,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",6554010000,"mid",6554010000
"18",2019,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3127987000,"mid",3127987000
"19",2019,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9043650000,"mid",9043650000
"20",2019,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2850350000,"mid",2850350000
"21",2019,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",960596000,"mid",960596000
"22",2019,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4088855000,"north",4088855000
"23",2019,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1700862000,"mid",1700862000
"24",2019,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6284678000,"mid",6284678000
"25",2019,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1258792000,"north",1258792000
"26",2019,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",180840000,"south",180840000
"27",2019,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1850170000,"north",1850170000
"28",2019,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",608845000,"south",608845000
"29",2019,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1200990000,"south",1200990000
"30",2019,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1520245000,"north",1520245000
"31",2018,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",443631000,"south",451670525.678977
"32",2018,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",8210160000,"mid",8358945346.71498
"33",2018,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3657830000,"mid",3724117563.79589
"34",2018,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8971410000,"mid",9133990795.9129
"35",2018,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2299864000,"mid",2341542367.12528
"36",2018,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",819840000,"mid",834697223.081013
"37",2018,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4711288000,"north",4796666435.81052
"38",2018,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1715616000,"mid",1746706566.00478
"39",2018,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6392448000,"mid",6508292586.71177
"40",2018,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1488323000,"north",1515294539.35841
"41",2018,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",139655000,"south",142185841.980605
"42",2018,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2628288000,"north",2675918099.94285
"43",2018,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",423226000,"south",430895744.213121
"44",2018,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",780570000,"south",794715568.184458
"45",2018,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1919245000,"north",1954025751.25893
"46",2017,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",396341000,"south",413379929.914821
"47",2017,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",7505240000,"mid",7827894629.1045
"48",2017,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3332160000,"mid",3475411494.81121
"49",2017,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8625198000,"mid",8996000274.36337
"50",2017,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2251392000,"mid",2348180650.42675
