"","year","state","state_avg","state_max","state_min","best_county","worst_county"
"1",2000,"IOWA",143.370707070707,159.8,109.5,"WEBSTER","IDA"
"2",2001,"IOWA",142.79898989899,173.6,108.3,"SCOTT","RINGGOLD"
"3",2002,"IOWA",159.655555555556,195.3,96.6,"SCOTT","FREMONT"
"4",2003,"IOWA",152.651515151515,180.9,104.8,"SCOTT","RINGGOLD"
"5",2004,"IOWA",179.387878787879,195.5,153,"POCAHONTAS","RINGGOLD"
"6",2005,"IOWA",168.586868686869,193,115,"BREMER","DAVIS"
"7",2006,"IOWA",164.463636363636,185.5,109.3,"BLACK HAWK","MONONA"
"8",2007,"IOWA",169.047474747475,198.5,137.6,"DES MOINES","TAYLOR"
"9",2008,"IOWA",165.848484848485,196,103,"CHEROKEE","WAYNE"
"10",2009,"IOWA",176.747474747475,206.6,134.4,"IDA","RINGGOLD"
"11",2010,"IOWA",154.60202020202,196.5,71.2,"SIOUX","LUCAS"
"12",2011,"IOWA",164.769696969697,196.5,97.8,"BREMER","DAVIS"
"13",2012,"IOWA",130.334343434343,170.6,44.5,"PALO ALTO","APPANOOSE"
"14",2013,"IOWA",159.809090909091,196,109.1,"DUBUQUE","APPANOOSE"
"15",2014,"IOWA",178.143434343434,200.9,153.7,"JEFFERSON","LUCAS"
"16",2015,"IOWA",187.759793814433,209.6,142.4,"CHEROKEE","DAVIS"
"17",2016,"IOWA",200.142424242424,219.7,159.9,"CHEROKEE","TAYLOR"
"18",2017,"IOWA",197.942708333333,222.4,107.3,"MARSHALL","DAVIS"
"19",2018,"IOWA",192.592708333333,226,142.6,"MARSHALL","OTHER (COMBINED) COUNTIES"
"20",2019,"IOWA",193.951086956522,234.7,151.5,"CRAWFORD","WAYNE"
"21",2020,"IOWA",176.03125,208.3,133.5,"WINNEBAGO","TAMA"
"22",2000,"NORTH DAKOTA",88.8846153846154,157.4,43.7,"MCKENZIE","HETTINGER"
"23",2001,"NORTH DAKOTA",98.3145833333333,147.3,60,"KIDDER","ADAMS"
"24",2002,"NORTH DAKOTA",88.784,137,34.2,"RICHLAND","BOWMAN"
"25",2003,"NORTH DAKOTA",83.575,134.7,25.4,"KIDDER","BOWMAN"
"26",2004,"NORTH DAKOTA",69.9021739130435,127.9,30.4,"RICHLAND","BOWMAN"
"27",2005,"NORTH DAKOTA",104.660869565217,146.6,53,"LA MOURE","ADAMS"
"28",2006,"NORTH DAKOTA",81.24375,139.2,22.5,"RANSOM","ADAMS"
"29",2007,"NORTH DAKOTA",94.7057692307692,135.8,52.1,"LA MOURE","ADAMS"
"30",2008,"NORTH DAKOTA",96.195652173913,146,17,"RICHLAND","OTHER (COMBINED) COUNTIES"
"31",2009,"NORTH DAKOTA",105.53125,140,80,"RANSOM","KIDDER"
"32",2010,"NORTH DAKOTA",111.845833333333,147.9,41,"SARGENT","BILLINGS"
"33",2011,"NORTH DAKOTA",96.6208333333333,128.3,36.4,"MCKENZIE","OTHER (COMBINED) COUNTIES"
"34",2012,"NORTH DAKOTA",102.216,155.4,45.9,"RICHLAND","OTHER (COMBINED) COUNTIES"
"35",2013,"NORTH DAKOTA",105.887179487179,136.5,58.5,"RANSOM","OTHER (COMBINED) COUNTIES"
"36",2014,"NORTH DAKOTA",109.853658536585,150.6,69.7,"DICKEY","OTHER (COMBINED) COUNTIES"
"37",2015,"NORTH DAKOTA",111.295348837209,160.5,62.7,"RICHLAND","GOLDEN VALLEY"
"38",2016,"NORTH DAKOTA",134.341666666667,197.5,57.8,"RANSOM","SLOPE"
"39",2017,"NORTH DAKOTA",115.868292682927,187.3,33.1,"RICHLAND","GOLDEN VALLEY"
"40",2018,"NORTH DAKOTA",127.057575757576,207.6,70.5,"SARGENT","BOWMAN"
