"","year","state","region","irrigated","non_irrigated","pct_irr","pct_non_irr"
"1",1944,"MONTANA","north",28,16,0.636363636363636,0.363636363636364
"2",1945,"MONTANA","north",26,12,0.684210526315789,0.315789473684211
"3",1946,"MONTANA","north",25,13,0.657894736842105,0.342105263157895
"4",1947,"MONTANA","north",27,17,0.613636363636364,0.386363636363636
"5",1947,"NEBRASKA","mid",49,17.9,0.732436472346786,0.267563527653214
"6",1948,"MONTANA","north",39,18,0.684210526315789,0.315789473684211
"7",1948,"NEBRASKA","mid",57.3,33.6,0.63036303630363,0.36963696369637
"8",1949,"MONTANA","north",38,5,0.883720930232558,0.116279069767442
"9",1949,"NEBRASKA","mid",55,29.3,0.652431791221827,0.347568208778173
"10",1950,"MONTANA","north",41,16,0.719298245614035,0.280701754385965
"11",1950,"NEBRASKA","mid",59.7,34.2,0.635782747603834,0.364217252396166
"12",1951,"MONTANA","north",33,13,0.717391304347826,0.282608695652174
"13",1951,"NEBRASKA","mid",53.1,25.5,0.67557251908397,0.324427480916031
"14",1952,"MONTANA","north",38,10,0.791666666666667,0.208333333333333
"15",1952,"NEBRASKA","mid",60.2,36.3,0.623834196891192,0.376165803108808
"16",1953,"MONTANA","north",39,18,0.684210526315789,0.315789473684211
"17",1953,"NEBRASKA","mid",56.2,26.8,0.67710843373494,0.32289156626506
"18",1954,"MONTANA","north",37,11,0.770833333333333,0.229166666666667
"19",1954,"NEBRASKA","mid",56.8,26.1,0.685162846803377,0.314837153196622
"20",1955,"MONTANA","north",44,18,0.709677419354839,0.290322580645161
"21",1955,"NEBRASKA","mid",59.3,11.4,0.838755304101839,0.161244695898161
"22",1956,"MONTANA","north",51,12,0.80952380952381,0.19047619047619
"23",1956,"NEBRASKA","mid",70.9,11.4,0.861482381530984,0.138517618469016
"24",1956,"SOUTH DAKOTA","north",50.8,NA,NA,NA
"25",1957,"MONTANA","north",51,17,0.75,0.25
"26",1957,"NEBRASKA","mid",74.4,35.9,0.674524025385313,0.325475974614687
"27",1957,"SOUTH DAKOTA","north",60.8,NA,NA,NA
"28",1958,"MONTANA","north",49,12,0.80327868852459,0.19672131147541
"29",1958,"NEBRASKA","mid",76.1,43.1,0.638422818791946,0.361577181208054
"30",1958,"SOUTH DAKOTA","north",58,NA,NA,NA
"31",1959,"MONTANA","north",57,10,0.850746268656716,0.149253731343284
"32",1959,"NEBRASKA","mid",75.5,40.6,0.650301464254953,0.349698535745047
"33",1959,"SOUTH DAKOTA","north",60.1,NA,NA,NA
