"","year","state","rel_crop_output","region"
"1",1960,"IDAHO",0.9568,"north"
"2",1960,"MINNESOTA",2.9171,"north"
"3",1960,"MONTANA",0.8468,"north"
"4",1960,"NORTH DAKOTA",1.58,"north"
"5",1960,"SOUTH DAKOTA",1.4494,"north"
"6",1960,"WISCONSIN",1.9572,"north"
"7",1960,"ARKANSAS",1.3144,"south"
"8",1960,"OKLAHOMA",1.3806,"south"
"9",1960,"TENNESSEE",1.1302,"south"
"10",1960,"TEXAS",4.0257,"south"
"11",1961,"IDAHO",1.051,"north"
"12",1961,"MINNESOTA",3.0175,"north"
"13",1961,"MONTANA",0.6503,"north"
"14",1961,"NORTH DAKOTA",0.9955,"north"
"15",1961,"SOUTH DAKOTA",1.1592,"north"
"16",1961,"WISCONSIN",2.0974,"north"
"17",1961,"ARKANSAS",1.3496,"south"
"18",1961,"OKLAHOMA",1.2312,"south"
"19",1961,"TENNESSEE",1.1796,"south"
"20",1961,"TEXAS",3.9327,"south"
"21",1962,"IDAHO",1.1351,"north"
"22",1962,"MINNESOTA",2.665,"north"
"23",1962,"MONTANA",0.9382,"north"
"24",1962,"NORTH DAKOTA",1.9369,"north"
"25",1962,"SOUTH DAKOTA",1.365,"north"
"26",1962,"WISCONSIN",2.1542,"north"
"27",1962,"ARKANSAS",1.3948,"south"
"28",1962,"OKLAHOMA",0.9525,"south"
"29",1962,"TENNESSEE",1.0997,"south"
"30",1962,"TEXAS",3.6712,"south"
"31",1963,"IDAHO",1.1868,"north"
"32",1963,"MINNESOTA",3.2107,"north"
"33",1963,"MONTANA",1.0037,"north"
"34",1963,"NORTH DAKOTA",1.6998,"north"
"35",1963,"SOUTH DAKOTA",1.4171,"north"
"36",1963,"WISCONSIN",1.9686,"north"
"37",1963,"ARKANSAS",1.456,"south"
"38",1963,"OKLAHOMA",0.9816,"south"
"39",1963,"TENNESSEE",1.2138,"south"
"40",1963,"TEXAS",4.0907,"south"
"41",1964,"IDAHO",1.2103,"north"
"42",1964,"MINNESOTA",2.7612,"north"
"43",1964,"MONTANA",1.0072,"north"
"44",1964,"NORTH DAKOTA",1.7398,"north"
"45",1964,"SOUTH DAKOTA",1.1549,"north"
"46",1964,"WISCONSIN",1.9036,"north"
"47",1964,"ARKANSAS",1.5271,"south"
"48",1964,"OKLAHOMA",1.0766,"south"
"49",1964,"TENNESSEE",1.3215,"south"
"50",1964,"TEXAS",3.798,"south"
"51",1965,"IDAHO",1.1946,"north"
"52",1965,"MINNESOTA",2.8621,"north"
"53",1965,"MONTANA",1.096,"north"
"54",1965,"NORTH DAKOTA",2.0007,"north"
"55",1965,"SOUTH DAKOTA",1.3812,"north"
"56",1965,"WISCONSIN",2.045,"north"
"57",1965,"ARKANSAS",1.6753,"south"
"58",1965,"OKLAHOMA",1.4001,"south"
"59",1965,"TENNESSEE",1.2613,"south"
"60",1965,"TEXAS",4.2834,"south"
"61",1966,"IDAHO",1.1791,"north"
"62",1966,"MINNESOTA",3.2208,"north"
"63",1966,"MONTANA",1.0844,"north"
"64",1966,"NORTH DAKOTA",1.8426,"north"
"65",1966,"SOUTH DAKOTA",1.3779,"north"
"66",1966,"WISCONSIN",2.2052,"north"
"67",1966,"ARKANSAS",1.394,"south"
"68",1966,"OKLAHOMA",1.1087,"south"
"69",1966,"TENNESSEE",1.0742,"south"
"70",1966,"TEXAS",4.2764,"south"
"71",1967,"IDAHO",1.3813,"north"
"72",1967,"MINNESOTA",3.3335,"north"
"73",1967,"MONTANA",1.1611,"north"
"74",1967,"NORTH DAKOTA",1.8583,"north"
"75",1967,"SOUTH DAKOTA",1.5651,"north"
"76",1967,"WISCONSIN",2.2217,"north"
"77",1967,"ARKANSAS",1.3008,"south"
"78",1967,"OKLAHOMA",1.0872,"south"
"79",1967,"TENNESSEE",0.9986,"south"
"80",1967,"TEXAS",3.78,"south"
"81",1968,"IDAHO",1.3634,"north"
"82",1968,"MINNESOTA",3.5286,"north"
"83",1968,"MONTANA",1.1885,"north"
"84",1968,"NORTH DAKOTA",2.1683,"north"
"85",1968,"SOUTH DAKOTA",1.6203,"north"
"86",1968,"WISCONSIN",2.389,"north"
"87",1968,"ARKANSAS",1.5963,"south"
"88",1968,"OKLAHOMA",1.2487,"south"
"89",1968,"TENNESSEE",1.0346,"south"
"90",1968,"TEXAS",4.2651,"south"
"91",1969,"IDAHO",1.417,"north"
"92",1969,"MINNESOTA",3.4385,"north"
"93",1969,"MONTANA",1.134,"north"
"94",1969,"NORTH DAKOTA",2.2007,"north"
"95",1969,"SOUTH DAKOTA",1.6028,"north"
"96",1969,"WISCONSIN",2.2367,"north"
"97",1969,"ARKANSAS",1.6683,"south"
"98",1969,"OKLAHOMA",1.3065,"south"
"99",1969,"TENNESSEE",1.1153,"south"
"100",1969,"TEXAS",4.0197,"south"
"101",1970,"IDAHO",1.4323,"north"
"102",1970,"MINNESOTA",3.4657,"north"
"103",1970,"MONTANA",1.0716,"north"
"104",1970,"NORTH DAKOTA",1.7797,"north"
"105",1970,"SOUTH DAKOTA",1.4336,"north"
"106",1970,"WISCONSIN",2.2823,"north"
"107",1970,"ARKANSAS",1.6565,"south"
"108",1970,"OKLAHOMA",1.1974,"south"
"109",1970,"TENNESSEE",1.0703,"south"
"110",1970,"TEXAS",3.972,"south"
"111",1971,"IDAHO",1.5156,"north"
"112",1971,"MINNESOTA",4.0709,"north"
"113",1971,"MONTANA",1.1874,"north"
"114",1971,"NORTH DAKOTA",2.7573,"north"
"115",1971,"SOUTH DAKOTA",1.8418,"north"
"116",1971,"WISCONSIN",2.6491,"north"
"117",1971,"ARKANSAS",1.7139,"south"
"118",1971,"OKLAHOMA",0.997,"south"
"119",1971,"TENNESSEE",1.2286,"south"
"120",1971,"TEXAS",3.3953,"south"
"121",1972,"IDAHO",1.4985,"north"
"122",1972,"MINNESOTA",4.0223,"north"
"123",1972,"MONTANA",1.1666,"north"
